"","X","zone","year","young_sum","working_sum","old_sum","total_pop","birthing_age","birth_rate","fertility_rate","working_male","dependency_ratio","young_dependency_ratio","old_dependency_ratio","young_sex_ratio","working_sex_ratio","old_sex_ratio","total_sex_ratio","city_size","city_name","country_iso","country_name","continent_name","latitude","longitude"
"48",93513,4453,2020,7605.17440795898,8753.2183303833,530.117742538452,16888.5104808807,7664.67868041992,39.6882244088544,87.449849086141,4278.49063873291,0.929405830340027,0.868843220962587,0.0605626093774401,102.274817972688,93.6007118878575,68.4598419605386,97.6898672187049,"<50k","Lundazi","ZMB","Zambia","Africa",-12.2938793688,33.1717751188
"34",89334,4254,2020,1532.30988693237,1779.48854827881,126.313825130463,3438.11226034164,1561.20782852173,35.7331319013338,78.6919695417547,863.530616760254,0.932078890683012,0.861095671795406,0.0709832188876059,102.142199175355,91.3605770274315,58.6448648617406,96.2134863930187,"<50k","N/A","ZMB","Zambia","Africa",-14.251634646,31.3287093929
"31",87024,4144,2020,758.780675888062,861.416193008423,44.1960294246674,1664.39289832115,764.160415649414,36.8908824576233,80.3508288545509,429.62709236145,0.932158823841471,0.880852579794309,0.051306244047162,102.587822142226,98.4111706501861,79.0676923641138,100.439900931244,"<50k","Serenje","ZMB","Zambia","Africa",-13.2320982153,30.2287468554
"33",89124,4244,2020,9.47995719313622,11.0023773908615,0.777938839048147,21.2602734230459,9.65646851062775,35.7475395039925,78.7039758085028,5.43290302157402,0.932334500787483,0.861628069676122,0.0707064311113611,105.662842046433,94.5256171249812,60.6096421515217,99.53454562575,"<50k","N/A","ZMB","Zambia","Africa",-13.6816850317,31.1352751763
"35",89418,4258,2020,15.9802035093307,18.5465212911367,1.31135834753513,35.8380831480026,16.2777454853058,35.7475391536561,78.703975417339,9.15815262496471,0.932334510899864,0.861628078844499,0.0707064320553646,105.662844602906,94.5256172941822,60.6096423292766,99.5345471097248,"<50k","N/A","ZMB","Zambia","Africa",-13.7062172895,31.2896420696
"7",76377,3637,2020,375.744624137878,432.862461566925,28.5501146316528,837.157200336456,384.339380264282,36.9936683194379,80.5785651711792,227.096496105194,0.93400277147161,0.86804622137414,0.0659565500974694,102.221878215142,110.171951172936,91.708078649691,105.271404674008,"<50k","Itezhi-Tezhi","ZMB","Zambia","Africa",-15.7377826182,26.037990396
"30",86751,4131,2020,698.899061203003,794.667167663574,45.4865660667419,1539.05279493332,700.298498153687,38.071334564944,83.6697408655011,391.754797935486,0.936726289395265,0.879486519189987,0.0572397702052778,104.469994915373,95.8910308281185,83.883051320819,100.427166831188,"<50k","Luwingu","ZMB","Zambia","Africa",-10.2559621212,29.9233015123
"12",77910,3710,2020,1180.08015823364,1302.25078773499,49.2623543739319,2531.59330034256,1179.06554794312,38.4992529499084,82.6624533353627,640.90637588501,0.944013644826262,0.906185021616431,0.0378286232098306,98.720219797894,95.8683095282995,63.3562678792135,97.0809457494436,"<50k","N/A","ZMB","Zambia","Africa",-17.3570584745,27.1773498951
"13",78057,3717,2020,4624.34197998047,5156.14305877686,304.787942886353,10085.2729816437,4613.10455322266,36.6118174502467,80.0415791751126,2594.30973052979,0.955972296865656,0.896860681960492,0.0591116149051641,101.819144345475,99.7119711485346,75.7042686117185,100.370596928796,"<50k","Mumbwa","ZMB","Zambia","Africa",-14.9899937177,27.060139622
"40",90090,4290,2020,7931.58630371094,8696.57512664795,398.800369262695,17026.9617996216,7831.57403564453,37.9999132495524,82.6172450575337,4355.47791290283,0.957892797067636,0.912035621863032,0.0458571752046039,100.70523517263,101.56647828321,98.0074402827279,101.016721849689,"<50k","Mbala","ZMB","Zambia","Africa",-8.8461539969,31.3609884883
